fecha,ticker,precio,moneda,fuente
2025-03-25,IBB,6410.00,ARS,Yahoo Finance IBB.BA
2025-03-26,IBB,6310.00,ARS,Yahoo Finance IBB.BA
2025-03-27,IBB,6330.00,ARS,Yahoo Finance IBB.BA
2025-03-28,IBB,6320.00,ARS,Yahoo Finance IBB.BA
2025-03-31,IBB,6250.00,ARS,Yahoo Finance IBB.BA
2025-04-01,IBB,6050.00,ARS,Yahoo Finance IBB.BA
2025-04-03,IBB,6070.00,ARS,Yahoo Finance IBB.BA
2025-04-04,IBB,5830.00,ARS,Yahoo Finance IBB.BA
2025-04-07,IBB,5890.00,ARS,Yahoo Finance IBB.BA
2025-04-08,IBB,5690.00,ARS,Yahoo Finance IBB.BA
2025-04-09,IBB,5690.00,ARS,Yahoo Finance IBB.BA
2025-04-10,IBB,5730.00,ARS,Yahoo Finance IBB.BA
2025-04-11,IBB,5750.00,ARS,Yahoo Finance IBB.BA
2025-04-14,IBB,5590.00,ARS,Yahoo Finance IBB.BA
2025-04-15,IBB,5530.00,ARS,Yahoo Finance IBB.BA
2025-04-16,IBB,5110.00,ARS,Yahoo Finance IBB.BA
2025-04-21,IBB,4910.00,ARS,Yahoo Finance IBB.BA
2025-04-22,IBB,5180.00,ARS,Yahoo Finance IBB.BA
2025-04-23,IBB,5390.00,ARS,Yahoo Finance IBB.BA
2025-04-24,IBB,5520.00,ARS,Yahoo Finance IBB.BA
2025-04-25,IBB,5500.00,ARS,Yahoo Finance IBB.BA
2025-04-28,IBB,5510.00,ARS,Yahoo Finance IBB.BA
2025-04-29,IBB,5410.00,ARS,Yahoo Finance IBB.BA
2025-04-30,IBB,5630.00,ARS,Yahoo Finance IBB.BA
2025-05-05,IBB,5640.00,ARS,Yahoo Finance IBB.BA
2025-05-06,IBB,5330.00,ARS,Yahoo Finance IBB.BA
2025-05-07,IBB,5190.00,ARS,Yahoo Finance IBB.BA
2025-05-08,IBB,5120.00,ARS,Yahoo Finance IBB.BA
2025-05-09,IBB,5010.00,ARS,Yahoo Finance IBB.BA
2025-05-12,IBB,5210.00,ARS,Yahoo Finance IBB.BA
2025-05-13,IBB,5150.00,ARS,Yahoo Finance IBB.BA
2025-05-14,IBB,5020.00,ARS,Yahoo Finance IBB.BA
2025-05-15,IBB,5110.00,ARS,Yahoo Finance IBB.BA
2025-05-16,IBB,5230.00,ARS,Yahoo Finance IBB.BA
2025-05-19,IBB,5270.00,ARS,Yahoo Finance IBB.BA
2025-05-20,IBB,5410.00,ARS,Yahoo Finance IBB.BA
2025-05-21,IBB,5230.00,ARS,Yahoo Finance IBB.BA
2025-05-22,IBB,5190.00,ARS,Yahoo Finance IBB.BA
2025-05-23,IBB,5230.00,ARS,Yahoo Finance IBB.BA
2025-05-26,IBB,5230.00,ARS,Yahoo Finance IBB.BA
2025-05-27,IBB,5320.00,ARS,Yahoo Finance IBB.BA
2025-05-28,IBB,5290.00,ARS,Yahoo Finance IBB.BA
2025-05-29,IBB,5510.00,ARS,Yahoo Finance IBB.BA
2025-05-30,IBB,5450.00,ARS,Yahoo Finance IBB.BA
2025-06-02,IBB,5480.00,ARS,Yahoo Finance IBB.BA
2025-06-03,IBB,5550.00,ARS,Yahoo Finance IBB.BA
2025-06-04,IBB,5580.00,ARS,Yahoo Finance IBB.BA
2025-06-05,IBB,5550.00,ARS,Yahoo Finance IBB.BA
